Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
127.795,26.7464354134699,-47.0964374793658,-0.24428498742167,-0.0297337027291693,0.00147305777961053,0.0595584622467015,2.4
127.8,26.7581491077607,-47.0990431205642,-0.243058602773903,-0.0297259779840495,0.00161737920016592,0.0596150541778179,2.4
127.805,26.7698660507502,-47.1016341139977,-0.243058602773903,-0.0297175288637714,0.00176280998291957,0.0596705028640021,2.4
127.81,26.781583055091,-47.1042248299744,-0.241829881934846,-0.029708344498624,0.00191148802487282,0.0597259515501863,2.4
127.815,26.793303294107,-47.106800872948,-0.241829881934846,-0.029698414797535,0.00206094516050799,0.0597800373002369,2.4
127.82,26.8050235926214,-47.1093766452063,-0.240598872080517,-0.0296877295453484,0.00221371964045262,0.0598341230502875,2.4
127.825,26.8167471113735,-47.1119377207739,-0.240598872080517,-0.029676279108655,0.00236701873983089,0.0598866703089711,2.4
127.83,26.8284706875963,-47.1144985332508,-0.239365629457376,-0.0296640537474221,0.00252370091845899,0.0599392175676547,2.4
127.835,26.8401974692176,-47.1170446268864,-0.239365629457376,-0.0296510442856251,0.00268065774004515,0.0599900555876422,2.4
127.84,26.8519243061155,-47.119590465916,-0.23813021756054,-0.0296372414577682,0.00284105907647432,0.0600408936076297,2.4
127.845,26.8636543331667,-47.1221215655532,-0.23813021756054,-0.029622636544536,0.00300148968527411,0.0600898564798684,2.4
127.85,26.8753844131426,-47.1246524199054,-0.236892706935493,-0.0296072207539812,0.00316542199763299,0.060138819352107,2.4
127.855,26.8871175638032,-47.1271690000309,-0.236892706935493,-0.0295918800019022,0.00297000973819413,0.0599925467655556,2.4
127.86,26.8988505572332,-47.1296863131074,-0.23565317497851,-0.0295775293140843,0.00276938163686106,0.0598462741790042,2.4
127.865,26.9105865107366,-47.1321897897552,-0.23565317497851,-0.0295641502866293,0.00258140354945447,0.0597096604195891,2.4
127.87,26.9223223181611,-47.1346939511025,-0.23441968154272,-0.0295517235043273,0.00238846947981748,0.059573046660174,2.4
127.875,26.9340610653029,-47.1371842955577,-0.23441968154272,-0.0295402299915307,0.00220815308767018,0.0594459329862448,2.4
127.88,26.9457996772413,-47.1396752772366,-0.233191827769418,-0.0295296497680364,0.00202314024039717,0.0593188193123157,2.4
127.885,26.9575412093504,-47.1421524578319,-0.233191827769418,-0.0295199635347861,0.00185061332756287,0.0592009935966529,2.4
127.89,26.9692826168011,-47.1446302292186,-0.231969221377216,-0.0295111510024745,0.0016736469330582,0.0590831678809901,2.4
127.895,26.9810269256281,-47.1470942117977,-0.231969221377216,-0.0295031925390888,0.00150904113670515,0.0589744227578119,2.4
127.9,26.9927711200202,-47.1495587397559,-0.23075147886346,-0.0294960675356861,0.00134025060432837,0.0588656776346337,2.4
127.905,27.0045181977269,-47.1520094876683,-0.23075147886346,-0.0294897559097504,0.00118374479054914,0.0587658334878905,2.4
127.91,27.0162651709324,-47.1544607364291,-0.229538225305345,-0.0294842366106825,0.001023308131164,0.0586659893411472,2.4
127.915,27.028015010063,-47.156898210611,-0.229538225305345,-0.0294794894629279,0.000874937602413626,0.0585747901643262,2.4
127.92,27.0397647542598,-47.159336142376,-0.22832909321226,-0.0294754933428306,0.000722885954136301,0.0584835909875052,2.4
127.925,27.0515173476089,-47.1617603019327,-0.22832909321226,-0.0294722278596789,0.000582735093083543,0.0584008116298785,2.4
127.93,27.0632698552614,-47.1641848769185,-0.227123725677078,-0.0294696716899217,0.000439150100256879,0.0583180322722517,2.4
127.935,27.0750251958852,-47.1665956790269,-0.227123725677078,-0.0294678042641441,0.000307288670064017,0.0582434426212874,2.4
127.94,27.0867804597179,-47.1690068555472,-0.225921775100492,-0.0294666040959263,0.000172237203373021,0.0581688529703231,2.4
127.945,27.098538540893,-47.171404255612,-0.225921775100492,-0.0294660504723366,4.87208580508878e-05,0.0581022183971696,2.4
127.95,27.1102965538495,-47.1738019902314,-0.224722903394036,-0.0294661217798107,-7.77444680818683e-05,0.0580355838240162,2.4
127.955,27.1220573690326,-47.1761859420391,-0.224722903394036,-0.0294667971957901,-0.000192873661694514,0.0579766656275512,2.4
127.96,27.1338181242363,-47.1785701897254,-0.223526782164828,-0.0294680550139587,-0.000310713959690061,0.0579177474310861,2.4
127.965,27.1455816670257,-47.1809406455967,-0.223526782164828,-0.0294698743347586,-0.000417427013752696,0.057866303266404,2.4
127.97,27.1573451577416,-47.1833113598708,-0.222333092882112,-0.0294722333922184,-0.000526616607493417,0.057814859101722,2.4
127.975,27.1691114218393,-47.1856682708107,-0.222333092882112,-0.0294751112411705,-0.000624897115008459,0.0577706433953437,2.4
127.98,27.180877641437,-47.1880254038948,-0.221141527026221,-0.0294784860878134,-0.000725423034614381,0.0577264276889654,2.4
127.985,27.192646620613,-47.1903687197404,-0.221141527026221,-0.029482336971547,-0.00081526668116666,0.0576891920409791,2.4
127.99,27.2044155625305,-47.1927122227036,-0.219951786220522,-0.0294866421013197,-0.000907128167805868,0.0576519563929927,2.4
127.995,27.2161872505874,-47.19504189227,-0.219951786220522,-0.0294913805300865,-0.000988542253078731,0.0576214499663362,2.4
128,27.2279589082974,-47.1973717151726,-0.218763582346871,-0.0294965304989055,-0.00107175027369317,0.0575909435396796,2.4
128.005,27.2397332990508,-47.1996876863263,-0.218763582346871,-0.0295020709735675,-0.00114470161552689,0.0575669412173919,2.4
128.01,27.251507666068,-47.2020037781515,-0.217576637645106,-0.0295079801226678,-0.0012192254991817,0.0575429388951042,2.4
128.015,27.2632847533265,-47.2043059978859,-0.217576637645106,-0.0295142371102256,-0.00128379551895174,0.0575251565760288,2.4
128.02,27.2750618231044,-47.206608307041,-0.216390683650443,-0.029520820326607,-0.00134972185020159,0.0575073742569533,2.4
128.025,27.2868416005709,-47.2088967219595,-0.216390683650443,-0.0295277090296004,-0.00140594997323962,0.0574955560053152,2.4
